,subfamily,species,sex,mass (g),spiracle,area (mm^2),depth (mm)
105,Cetoniinae,Dicronorrhina derbyana,F,2.145,T,0.133606859,0.6152
106,Cetoniinae,Mecynorrhina torquata,M,6.875,T,0.213193241,1.0063676670000001
107,Cetoniinae,Eudicella euthalia,M,2.695,T,0.065692208,0.610602152
108,Cetoniinae,Eudicella euthalia,F,1.672,T,0.08927468599999999,0.5705182670000001
109,Cetoniinae,Protaetia orientalis,F,0.935,T,0.077862523,0.317383305
110,Cetoniinae,Protaetia orientalis,M,1.815,T,0.051918127,0.29577182
111,Rutelinae,Popilia japonica,F,0.1549,T,0.010043357,0.17815699999999998
112,Rutelinae,Popilia japonica,M,0.1075,T,0.008512656,0.1717803
113,Dynastinae,Trypoxylus dichotomus,M,6.4149,T,0.19518403899999998,0.58599952
114,Dynastinae,Dynastes hercules,F,21.7,T,0.316246147,1.022115646
115,Dynastinae,Dynastes hercules,M,31.0,T,1.166801529,1.135677243
116,Dynastinae,Cyclocephala borealis,M,0.0969,T,0.013419203999999999,0.1747193
117,Dynastinae,Cyclocephala borealis,F,0.1185,T,0.034752475,0.20496531
118,Cetoniinae,Goliathus goliathus,M,16.28,S,1.983443946,1.149207289
119,Cetoniinae,Goliathus goliathus,F,18.15,S,2.387048149,0.8296518009999999
120,Cetoniinae,Coelorrhina hornimani,M,1.13,S,0.236731487,0.307272
121,Cetoniinae,Dicronorrhina derbyana,M,2.12,S,0.413229684,0.344591
122,Cetoniinae,Dicronorrhina derbyana,F,2.145,S,0.243358343,0.23248000000000002
123,Cetoniinae,Mecynorrhina torquata,M,6.875,S,1.4194569369999999,0.606709066
124,Cetoniinae,Eudicella euthalia,M,2.695,S,0.69197943,0.333942095
125,Cetoniinae,Eudicella euthalia,F,1.672,S,0.293100721,0.333129584
126,Cetoniinae,Protaetia orientalis,F,0.935,S,0.232358008,0.28468051899999997
127,Cetoniinae,Protaetia orientalis,M,1.815,S,0.24660165,0.293049397
128,Rutelinae,Popilia japonica,F,0.1549,S,0.022083763,0.15700804
129,Rutelinae,Popilia japonica,M,0.1075,S,0.050396657000000004,0.1510299
130,Dynastinae,Trypoxylus dichotomus,M,6.4149,S,0.3525995,0.38686696
131,Dynastinae,Dynastes hercules,F,21.7,S,1.36303178,0.26608390000000004
132,Dynastinae,Dynastes hercules,M,31.0,S,1.3777487419999999,0.8378430290000001
133,Dynastinae,Cyclocephala borealis,M,0.0969,S,0.044720207000000005,0.1792805
